name,type,novel,bases,community,degree,betweenness,planet
Слово,onym,Туманность Андромеды,1,453,0.0011792452830188679,0.00023515333667278903,Нейтр/Космос
Вестники,onym,Туманность Андромеды,1,453,0.0005896226415094339,0.0,Нейтр/Космос
Субантарктики,onym,Туманность Андромеды,1,454,0.0,0.0,Нейтр/Космос
Матерей,onym,Туманность Андромеды,1,455,0.0005896226415094339,0.0,Нейтр/Космос
Ява,onym,Туманность Андромеды,1,455,0.0005896226415094339,0.0,Нейтр/Космос
Горсточка,onym,Туманность Андромеды,1,456,0.0,0.0,Нейтр/Космос
Змеей,onym,Туманность Андромеды,1,457,0.0,0.0,Нейтр/Космос
Антарктики,onym,Сердце Змеи,1,498,0.004127358490566038,8.592141147659597e-06,Нейтр/Космос
Эмба,onym,Туманность Андромеды,1,458,0.0011792452830188679,0.0,Нейтр/Космос
Онга,onym,Туманность Андромеды,1,458,0.0011792452830188679,0.0,Нейтр/Космос
Знаний,onym,Туманность Андромеды,1,458,0.0011792452830188679,0.0,Нейтр/Космос
Тема,onym,Туманность Андромеды,1,459,0.0,0.0,Нейтр/Космос
Хомра,onym,Туманность Андромеды,1,460,0.0,0.0,Нейтр/Космос
Слои,onym,Туманность Андромеды,1,461,0.0005896226415094339,0.0,Нейтр/Космос
Покров,onym,Туманность Андромеды,1,461,0.0005896226415094339,0.0,Нейтр/Космос
Аллена,onym,Туманность Андромеды,1,462,0.0,0.0,Нейтр/Космос
Кад,onym,Туманность Андромеды,1,463,0.0005896226415094339,0.0,Нейтр/Космос
Лайта,onym,Туманность Андромеды,1,463,0.0005896226415094339,0.0,Нейтр/Космос
Атмосферы,onym,Туманность Андромеды,1,464,0.0005896226415094339,0.0,Нейтр/Космос
Каракоруме,onym,Туманность Андромеды,1,464,0.0005896226415094339,0.0,Нейтр/Космос
Барион,onym,Туманность Андромеды,1,465,0.0005896226415094339,0.0,Нейтр/Космос
Решение,onym,Туманность Андромеды,1,465,0.001768867924528302,1.3914398619691658e-06,Нейтр/Космос
Планетолет,onym,Туманность Андромеды,1,465,0.0011792452830188679,0.0,Нейтр/Космос
Алтай,onym,Туманность Андромеды,1,465,0.0011792452830188679,0.0,Нейтр/Космос
Распределение,onym,Туманность Андромеды,1,466,0.0,0.0,Нейтр/Космос
Постройка,onym,Туманность Андромеды,1,126,0.0005896226415094339,0.0,Нейтр/Космос
Законы,onym,Сердце Змеи,1,126,0.0011792452830188679,6.957199309845829e-07,Нейтр/Космос
Сборка,onym,Туманность Андромеды,1,467,0.0,0.0,Нейтр/Космос
Метки,onym,Туманность Андромеды,1,468,0.0,0.0,Нейтр/Космос
Алтая,onym,Туманность Андромеды,1,469,0.0011792452830188679,0.0,Нейтр/Космос
Куча,onym,Туманность Андромеды,1,469,0.001768867924528302,3.4785996549229144e-07,Нейтр/Космос
Буксир,onym,Туманность Андромеды,1,469,0.001768867924528302,3.4785996549229144e-07,Нейтр/Космос
Ракеты,onym,Туманность Андромеды,1,469,0.0011792452830188679,0.0,Нейтр/Космос
Землею,onym,Туманность Андромеды,1,470,0.0,0.0,Нейтр/Космос
Каюты,onym,Туманность Андромеды,1,471,0.0,0.0,Нейтр/Космос
